geoid,longitude,latitude,facility,county,address,city,zip_code,type,residential_wells_sampled,site_lead,site_lead_email,site_lead_phone,hyperlink,location,military,facility_date,site_background,drinking_water_information,anticipated_activities
26073,-84.781676,43.612701,Roosevelt Refinery,Isabella County,600 W Pickard Street,Mount Pleasant,48858,Refinery,No,Larry Engelhart,EngelhartL@Michigan.gov,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/roosevelt-refinery,Mt. Pleasant,No,NA,NA,NA,NA
26007,-83.56593683,45.06803886,Alpena Combat Readiness Center,Alpena County,5884 A St.,Alpena,49707,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-crtc,Alpena,Yes,NA,NA,NA,NA
26041,-87.06124303,45.79168882,Escanaba Defense Fuel Supply Point,Delta County,6734 P Road,Escanaba,49829,Military,Yes,Kenneth Heitkamp,HeitkampK@Michigan.gov,517-930-5218,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/delta-county/escanaba-dfsp,Escanaba,Yes,2017/10/31 16:00:00+00,NA,NA,NA
26069,-83.36568555,44.47421724,Van Etten Lake,Iosco County,No address - Lake,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda,Yes,2017/11/03 00:00:00+00,NA,NA,NA
26069,-83.36119628,44.47984324,Loud Drive,Iosco County,No Address - large area of homes - E. side of Van Etten Lake,Oscoda,48750,MIlitary,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda,No,2017/11/03 00:00:00+00,NA,NA,NA
26069,-83.38897836,44.48491182,Colbath Road,Iosco County,No Address - large area of homes,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda,No,2017/11/03 00:00:00+00,NA,NA,NA
26069,-83.37365458,44.42296907,Oscoda Area Schools,Iosco County,3550 River Road,Oscoda,48750,Unknown,Yes,Megan Berry,BerryM5Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda,No,2017/11/03 00:00:00+00,NA,NA,NA
26069,-83.42141847,44.50811494,McDonald Store Fire (aka F-41),Iosco County,No address-business burned-corner of F-41 and King's Corner Road,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda,No,2017/11/03 00:00:00+00,NA,NA,NA
26081,-85.58728976,43.03369008,State Disposal Superfund,Kent County,3954 East Beltline Rd,Grand Rapids,49525,Landfill,Yes,Erik Martinson,MartinsonE@michigan.gov,517-285-3978,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/state-disposal-superfund-site,Plainfield Township,No,2017/11/03 00:00:00+00,NA,NA,NA
26065,-84.58452515,42.73753664,"RACER Lansing Plants 2,3,6",Ingham County,2800 West Saginaw Street; 2801 West Saginaw Street; Corner of W. MI Ave and N. Verlinden,Lansing,48917,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/racer-plants-2-3-6,Lansing,No,2017/11/03 00:00:00+00,NA,NA,NA
26027,-86.158,41.84061,M-60 Tanker Spill,Cass County,2900 Pine Lake Street,Niles,49120,Fire Related,Yes,"Donovan Thomas
","ThomasD38@Michigan.gov 
","269-615-4451

",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/cass-county/m-60-tanker-spill,Howard Township,No,2018/03/12 00:00:00+00,NA,NA,NA
26117,-85.50977398,43.33037523,Central Sanitary Landfill,Montcalm County,21545 W Cannonsville Road,Pierson,49339,Landfill,Yes,Kent Walters,WaltersK7@Michigan.gov,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/montcalm-county/central-sanitary-landfill,Pierson,No,2018/05/02 00:00:00+00,NA,NA,NA
26077,-85.43879246,42.37701665,North 34th Street,Kalamazoo County,9899 East D Ave,Richland,49083,Industrial,Yes,Rachel Golota,GolotaR@Michigan.gov,269-370-2404,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/north-34th-street,Richland,No,2018/06/27 00:00:00+00,NA,NA,NA
26055,-85.67982625,44.66259046,Carl's Retreading,Grand Traverse County,5175 Sawyer Woods Drive,Traverse City,49685,Fire Related,Yes,David Maynard,MaynardD@Michigan.gov,231-429-1656,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/grand-traverse-county/carls-retreading,Grawn,No,2018/07/23 00:00:00+00,NA,NA,NA
26077,-85.57406045,42.34346935,Crown Vantage Property,Kalamazoo County,100 Island Avenue (multiple addresses),Parchment,49004,Landfill,Yes,Rachel Golota,GolotaR@Michigan.gov,269-370-2404,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/crown-vantage-property,Parchment,No,2018/09/04 00:00:00+00,NA,NA,NA
26049,-83.49033534,43.13406472,Richfield Landfill,Genesee County,11145 East Mt Morris Rd,Davison,48423,Landfill,Yes,Evin Maguire,MaguireE@Michigan.gov,517-388-3525,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/richfield-landfill,Davison,No,2017/11/03 00:00:00+00,NA,NA,NA
26049,-83.68471157,43.04157036,RACER Buick City,Genesee County,902 East Leith St,Flint,48505,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/racer-buick-city,Flint,No,2018/09/17 00:00:00+00,NA,NA,NA
26085,-85.85299967,43.85319927,Wash King Laundry,Lake County,9247 South M-37,Baldwin,49304,Laundromat/Dry Cleaner,Yes,Mark Riemann,ReimannM@michigan.gov,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lake-county/wash-king-laundry,Baldwin,No,2018/10/17 00:00:00+00,NA,NA,NA
26081,-85.53598708,42.934722,Lacks Industries - Cascade,Kent County,1601 Galbraith Ave SE,Grand Rapids,49546,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/lacks-industries-cascade,Grand Rapids,No,2018/10/17 00:00:00+00,NA,NA,NA
26101,-86.32762564,44.24867952,Manistee Plating,Manistee County,259 Sixth Ave,Manistee,49660,Plating,No,Brandi Wheeler,WheelerB5@Michigan.gov,231-878-8066,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/manistee-county/manistee-plating,Manistee,No,2018/10/17 00:00:00+00,NA,NA,NA
26099,-82.83496906,42.60713708,Selfridge ANGB,Macomb County,"No address - ANG base
",Harrison Charter Township,48045,Military,Yes,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/macomb-county/selfridge-air-national-guard-base-angb,Harrison Township,Yes,2018/10/29 00:00:00+00,NA,NA,NA
26057,-84.65502208,43.29165207,Ithaca Sanitary Landfill,Gratiot County,West Washington Road,Ithaca,48847,Landfill,Yes,Jessica Tashman,TashmanJ@Michigan.gov,517-245-3931,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gratiot-county/ithaca-sanitary-landfill,Ithaca,No,2018/10/29 00:00:00+00,NA,NA,NA
26075,-84.406515,42.253322,Michner Plating - Mechanic Street,Jackson County,506 North Mechanic Street,Jackson,48912,Plating,No,Shelby Bahaw,BahawS@Michigan.gov,517-388-4899,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/jackson-county/michner-plating,Jackson,No,2018/12/12 00:00:00+00,NA,NA,NA
26163,-83.42534,42.37688,RACER Eckles Road,Wayne County,"12950 Eckles Road
",Livonia,48150,Industrial,No,Sam Cairns,CairnsS2@Michigan.gov,517-898-4058,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/racer-12950-eckles-rd,Livonia,No,2018/12/12 00:00:00+00,NA,NA,NA
26049,-83.76265803,42.97068965,Flint Bishop International Airport Landfill,Genesee County,G-3425 West Bristol Road,Flint,48507,Landfill,Yes,Brian Kuberski,KuberskiB@Michigan.gov,517-243-7574,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/city-of-flint-landfill-at-bishop-international-airport,Flint,No,2019/01/17 00:00:00+00,NA,NA,NA
26081,-85.524636,42.88618,Gerald R. Ford International Airport,Kent County,"5500 44th Street SW
",Grand Rapids,49512,Airport,Yes,Brent Ritchie,Ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/gerald-r-ford-international-airport,Grand Rapids,No,2019/01/17 00:00:00+00,NA,NA,NA
26067,-85.191771,42.9309781,Lacks Industries - Saranac,Ionia County,6138 Riverside Drive,Saranac,48881,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ionia-county/lacks-industries-saranac,Saranac,No,2019/01/17 00:00:00+00,NA,NA,NA
26093,-83.933129,42.602822,Diamond Chrome Plating,Livingston County,604 S. Michigan Avenue,Howell,48843,Plating,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/diamond-chrome-plating-dcp,Howell,No,2019/01/17 00:00:00+00,NA,NA,NA
26057,-84.6354,43.37878,MRP (former Total Petroleum Refinery),Gratiot County,1610 East Superior Street,Alma,48801,Refinery,Yes,Marc Messina,MessinaM@Michigan.gov,517-219-2394,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gratiot-county/mrp-properties,Alma,No,2019/02/15 00:00:00+00,NA,NA,NA
26015,-85.303125,42.648879,Viking Corporation,Barry County,210 North Industrial Park Drive,Hastings,49058,Fire Related,No,Lynn Gosson,gossonl@michigan.gov,989-225-0161,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/barry-county/viking-corporation,Hastings,No,2019/02/15 00:00:00+00,NA,NA,NA
26161,-83.78386,42.16024,Washtenaw Industrial Facility LLC (former Universal Die Cast),Washtenaw County,232 and 290 Monroe Street,Saline,48176,Plating,Yes,Sam Cairns,cairnss2@michigan.gov,517-898-4058,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/washtenaw-industrial-facility,Saline,No,2019/02/15 00:00:00+00,NA,NA,NA
26147,-82.469256,43.042372,Fort Gratiot Landfill,St. Clair County,3290 Keewahdin Road,Fort Gratiot Township,48059,Landfill,Yes,Emily Ebaugh,EbaughE@Michigan.gov,586-255-2935,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/st-clair-county/fort-gratiot-landfill,Fort Gratiot Township,No,2019/02/28 00:00:00+00,NA,NA,NA
26125,-83.11834,42.45689,MacDermind Inc.,Oakland County,1221 Farrow Street,Ferndale,48220,Industrial,No,Tianna Kilgore,KilgoreT@Michigan.gov,517-230-4395,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/macdermid-inc,Ferndale,No,2019/02/28 00:00:00+00,NA,NA,NA
26121,-86.20833,43.21548,"MAHLE Engine Components, USA, Inc. - Former Harvey Street Muskegon Plant",Muskegon County,2051 South Harvey Street,Muskegon,49444,Industrial,N/A,Peter Van Heest,VanHeestP@Michigan.gov,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/mahle-engine-components,Muskegon,No,2019/02/28 00:00:00+00,NA,NA,NA
26163,-83.102806,42.302707,Gordie Howe International Bridge,Wayne County,Livernois Ave and W. Jefferson Ave,Detroit,48209,Industrial,No,Erik Gurshaw,GurshawE@Michigan.gov,586-291-3418,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/gordie-howe-international-bridge,Detroit,No,2019/04/04 00:00:00+00,NA,NA,NA
26039,-84.66273437,44.6856673,Camp Grayling – MATES at Range 30,Crawford County,2450 W. North Down River Rd,Grayling,49738,Military,Yes,Lisa Kruse,KruseL@Michigan.gov,989-370-1424,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-mates,Grayling,Yes,2019/04/04 00:00:00+00,NA,NA,NA
26005,-86.080007,42.761355,636 40th Street East,Allegan County,636 East 40th Street,Holland,49423,Industrial,Yes,Ray Spaulding,SpauldingR1@Michigan.gov,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/allegan-county/636-40th-street-east,Holland,No,2019/04/04 00:00:00+00,NA,NA,NA
26161,-83.76441,42.17546,Ford Motor Company – Saline Plant,Washtenaw County,7700 Michigan Avenue,Saline,48176,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/ford-saline-plant,Saline,No,2019/05/16 00:00:00+00,NA,NA,NA
26081,-85.72907,42.909196,Electro Chemical Finishing - Remico,Kent County,2610 Remico Street SW,Wyoming,49519,Plating,N/A,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/electro-chemical-finishing-remico,Wyoming,No,2019/05/16 00:00:00+00,NA,NA,NA
26121,-86.223,43.205,Peerless Plating,Muskegon County,2554 Getty Avenue,Muskegon,49444,Plating,No,Nicolas Dawson,DawsonN1@Michigan.gov,517-897-0912,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/peerless-plating,Muskegon Charter Township,No,2019/05/17 00:00:00+00,NA,NA,NA
26069,-83.38028336,44.50543233,Oscoda Township Dump,Iosco County,Kings Corner Road,Oscoda,48750,Landfill,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda Township,No,2019/05/30 00:00:00+00,NA,NA,NA
26081,-85.32714363,43.06466081,Ashley Avenue Disposal Area,Kent County,Corner of Ashley Ave and 6 Mile Rd,Grattan,48809,Landfill,Yes,Leah Gies,GiesL1@Michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/ashley-avenue-disposal-area,Belding,No,2019/06/13 00:00:00+00,NA,NA,NA
26149,-85.452788,42.012649,Lear Siegler Inc.,St. Joseph County,236 West Clark Street,Mendon,49072,Industrial,Yes,Pablo Mora,MoraP@Michigan.gov,269-910-0136,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/st-joseph-county/lear-siegler-inc,Mendon,No,2019/06/13 00:00:00+00,NA,NA,NA
26161,-83.572771,42.236694,RACER Willow Run,Washtenaw County,2930 Ecorse Rd,Ypsilanti,48198,Industrial,No,Ashley Lesser,LesserA@Michigan.gov,517-285-6324,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/racer-willow-run,Ypsilanti,No,2019/06/13 00:00:00+00,NA,NA,NA
26139,-86.08222,42.986905,120th Avenue Area,Ottawa County,Area around Robinson Elementary School,Grand Haven,49417,Fire Related,Yes,Kelly Moss,MossK@michigan.gov,616-215-4588,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ottawa-county/120th-avenue-area,Grand Haven,No,2019/06/13 00:00:00+00,NA,NA,NA
26093,-83.760346,42.513666,Thermofil,Livingston County,6150 Whitmore Lake Road,Brighton,48116,Industrial,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/thermofil,Green Oaks Township,No,2019/07/01 00:00:00+00,NA,NA,NA
26081,-85.5575,43.06277778,Northeast Gravel,Kent County,3769 Cannonsburg Road NE,Belmont,49306,Landfill,Yes,Karen Vorce,VorceK@Michigan.gov,616-439-8008,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/northeast-gravel,Belmont,No,2019/07/01 00:00:00+00,NA,NA,NA
26081,-85.688408,42.934718,BASF Corporation – Inmont Division,Kent County,836 Chicago Drive SW,Wyoming,49519,Industrial,No,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/basf-corporation-inmont-division,Wyoming,No,2019/07/01 00:00:00+00,NA,NA,NA
26159,-86.172332,42.201002,Du-Wel Metals,Van Buren County,520 Heywood Street,Hartford,49057,Plating,Yes,Ray Spaulding,SpauldingR1@Michigan.gov,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/van-buren-county/du-wel-metals,Hartford,"No
",2019/07/02 00:00:00+00,NA,NA,NA
26121,-86.21404,43.20973,Former ESCO,Muskegon County,1221 E. Barney,Muskegon,49444,Industrial,No,Peter Van Heest,VanHeestP@Michigan.gov,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/former-esco,Muskegon,No,2019/08/01 00:00:00+00,NA,NA,NA
26073,-84.964439,43.587081,Isabella County Landfill,Isabella County,West Tomah Road,Mount Pleasant,48858,Landfill,No,Lori Babcock,BabcockL4@Michigan.gov,989-460-7352,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/isabella-county-landfill,Deerfield Township,No,2019/08/15 00:00:00+00,NA,NA,NA
26037,-84.73151667,42.772375,"Grand Ledge Army Aviation Support
Facility and Armory Site",Clinton County,10600 W. Eaton Highway,Grand Ledge,48837,Military,Yes,Kim Sakowski,SakowskiK@Michigan.gov,517-582-2219,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clinton-county/grand-ledge-armory,Grand Ledge,Yes,2019/09/06 00:00:00+00,NA,NA,NA
26121,-86.01664,43.237135,Muskegon County Landfill Type II,Muskegon County,9366 Apple Ave,Ravenna,49451,Landfill,No,Kent Walters,WaltersK7@Michigan.gov,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/muskegon-county-landfill-type-ii,Ravenna,No,2019/09/24 00:00:00+00,NA,NA,NA
26067,-85.18187,43.102954,Pitsch Sanitary Landfill,Ionia County,7905 Johnson Road,Belding,48809,Landfill,No,Kent Walters,WaltersK7@Michigan.gov,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ionia-county/pitsch-sanitary-landfill,Belding,No,2019/10/10 00:00:00+00,NA,NA,NA
26115,-83.35222,41.90325,Ford River Raisin Warehouse,Monroe County,3200 East Elm Avenue,Monroe,48162,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/monroe-county/ford-river-raisin-warehouse,Monroe,No,2019/10/10 00:00:00+00,NA,NA,NA
26081,-85.647594,42.934692,Cottage Grove and Marshall Area,Kent County,"800 Block of Cottage Grove Street, SE and 1500 Block of Marshall Avenue, SE",Grand Rapids,49507,Plating,N/A,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/cottage-grove-and-marshall-area,Grand Rapids,No,2019/10/25 00:00:00+00,NA,NA,NA
26081,-85.600948,42.90717998,Former Keeler Brass – 32nd Street,Kent County,"2929 32nd Street, SE",Kentwood,20020,Plating,N/A,Jason Poll,PollJ@Michigan.gov,616-446-1263,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/former-keeler-brass-32nd-street,Kentwood,No,2019/10/25 00:00:00+00,NA,NA,NA
26155,-84.18808,42.99789,Partz Corporation,Shiawassee County,1232 W. Main Street,Owosso,48867,Plating,N/A,Jessica Tashman,TashmanJ@Michigan.gov,517-245-3931,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/shiawassee-county/partz-corporation,Owosso,No,2019/10/25 00:00:00+00,NA,NA,NA
26033,-84.4664,46.2666,Former Kincheloe Air Force Base,Chippewa County,NA,NA,49788,Military,Yes,Ashley Miller/Bill Harmon,MillerA65@Michigan.gov,906-235-7435,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/chippewa-county/kincheloe-air-force-base,Kinross Township,Yes,2019/11/05 00:00:00+00,NA,NA,NA
26161,-83.830729,42.325297,Former Chrysler Scio Introl Division Site,Washtenaw County,2880 Zeeb Road,Dexter,48130,Industrial,Yes,Joseph Rogers,RogersJ5@Michigan.gov,517-555-5312,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/chrysler-scio-introl-division,Dexter,No,2019/11/05 00:00:00+00,NA,NA,NA
26073,-84.7807222,43.6141083,Mt. Pleasant City Landfill,Isabella County,1301 North Franklin Street,Mount Pleasant,48858,Landfill,No,Larry Engelhart,EngelhartL@Michigan.gov,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/mt-pleasant-city-landfill,Mount Pleasant,No,2019/11/13 00:00:00+00,NA,NA,NA
26077,-85.59487196,42.18410701,Portage Former Landfill and Firefighter Training Facility,Kalamazoo County,South Westnedge,Portage,49002,Fire Related,Yes,Megan Watikunas,WatikunasM@Michigan.gov,269-568-7733,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/portage-former-landfill-ftf,Portage,No,2020/01/24 00:00:00+00,NA,NA,NA
26017,-83.90805,43.56895,Middleground Landfill,Bay County,Middleground Island,Bay City,48706,Landfill,No,Loren Curtis,CurtisL@Michigan.gov,989-274-0614,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/bay-county/middleground-landfill,Middleground Landfill,No,2020/01/21 00:00:00+00,NA,NA,NA
26077,-85.55079996,42.28713997,Georgia Pacific Corporation,Kalamazoo County,2425 King Highway,Kalamazoo,49048,Paper Manufacturing,N/A,Megan Watikunas,WatikunasM@Michigan.gov,269-568-7733,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/georgia-pacific-corporation,Kalamazoo,No,2020/02/07 00:00:00+00,NA,NA,NA
26121,-86.239,43.164,Muskegon County Airport Area,Muskegon County,99 Sinclair Dr,Muskegon,49441,Airport,Yes,Peter Van Heest,VanHeestP@Michigan.gov,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/muskegon-county-airport-area,Muskegon,No,2020/01/07 00:00:00+00,NA,NA,NA
26077,-85.55111105,42.28611384,Nolichucky Industrial Corp.,Kalamazoo County,"2305 King Highway
",Kalamazoo,49048,Paper Manufacturing,N/A,Megan Watikunas,WatikunasM@Michigan.gov,269-568-7733,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/nolichucky-industrial-corp,"Kalamazoo
",No,2019/05/30 00:00:00+00,NA,NA,NA
26121,-86.320933,43.412571,White Lake Landfill,Muskegon  County,3278 Colby Road,Whitehall,49461,Landfill,No,Kent Walters,WaltersK7@Michigan.gov,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/white-lake-landfill,Whitehall,No,2020/02/24 00:00:00+00,NA,NA,NA
26081,-85.661029,42.975919,Hoff Industries,Kent County,719 Prospect Ave. NE,Grand Rapids,49503,Plating,No,Jason Poll,PollJ@Michigan.gov,616-446-1263,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/hoff-industries,"Grand Rapids
",No,2020/02/26 00:00:00+00,NA,NA,NA
26069,-83.331022,44.406886,AuSable Twp Smith Street Area,Iosco County,US-23 & Smith St. Vicinity,AuSable Township,48750,Unknown,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,AuSable Township,No,2020/02/26 00:00:00+00,NA,NA,NA
26005,-85.66621351,42.5257141,Watson Township Dump,Allegan County,115th Avenue,Martin,49070,Landfill,Yes,Ray Spaulding,SpauldingR1@Michigan.gov,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/allegan-county/watson-township-dump,Watson Township,No,2020/02/24 00:00:00+00,NA,NA,NA
26035,-84.778854,43.818683,Clare Water Supply Superfund Site,Clare County,Clare Industrial Park,Clare,48617,Plating,Yes,Beth Mead-O’Brien,OBriene1@Michigan.gov,517-242-7829,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clare-county/clare-water-supply-superfund-site,Clare,No,2020/03/12 00:00:00+00,NA,NA,NA
